v2	I(I1)	I(I2)
Step Information: V3=2.5  (Run: 1/3)
7.000000000000031e-002	3.363802e-006	2.001481e-006
8.000000000000031e-002	3.458872e-006	1.906655e-006
9.000000000000030e-002	3.552996e-006	1.812781e-006
1.000000000000003e-001	3.646050e-006	1.719980e-006
1.100000000000003e-001	3.737911e-006	1.628376e-006
1.200000000000003e-001	3.828457e-006	1.538092e-006
1.300000000000003e-001	3.917559e-006	1.449255e-006
1.400000000000003e-001	4.005092e-006	1.361992e-006
1.500000000000003e-001	4.090928e-006	1.276432e-006
1.600000000000003e-001	4.174934e-006	1.192704e-006
1.700000000000003e-001	4.256982e-006	1.110941e-006
1.800000000000003e-001	4.336937e-006	1.031276e-006
1.900000000000003e-001	4.414666e-006	9.538421e-007
2.000000000000003e-001	4.490033e-006	8.787749e-007
2.100000000000004e-001	4.562904e-006	8.062099e-007
2.200000000000004e-001	4.633143e-006	7.362823e-007
2.300000000000004e-001	4.700616e-006	6.691272e-007
2.400000000000004e-001	4.765189e-006	6.048773e-007
2.500000000000004e-001	4.826733e-006	5.436630e-007
2.600000000000004e-001	4.885123e-006	4.856099e-007
2.700000000000004e-001	4.940238e-006	4.308371e-007
2.800000000000004e-001	4.991969e-006	3.794552e-007
2.900000000000004e-001	5.040219e-006	3.315624e-007
3.000000000000004e-001	5.084903e-006	2.872414e-007
3.100000000000004e-001	5.125960e-006	2.465549e-007
3.200000000000005e-001	5.163352e-006	2.095403e-007
3.300000000000005e-001	5.197072e-006	1.762043e-007
3.400000000000005e-001	5.227151e-006	1.465170e-007
3.500000000000005e-001	5.253660e-006	1.204058e-007
3.600000000000005e-001	5.276720e-006	9.775118e-008
3.700000000000005e-001	5.296497e-006	7.838360e-008
3.800000000000005e-001	5.313213e-006	6.208406e-008
3.900000000000005e-001	5.327130e-006	4.858883e-008
4.000000000000005e-001	5.338546e-006	3.759894e-008
4.100000000000005e-001	5.347780e-006	2.879383e-008
4.200000000000005e-001	5.355160e-006	2.184752e-008
4.300000000000006e-001	5.360998e-006	1.644496e-008
4.400000000000006e-001	5.365585e-006	1.229567e-008
4.500000000000006e-001	5.369178e-006	9.143186e-009
4.600000000000006e-001	5.371992e-006	6.769473e-009
4.700000000000006e-001	5.374209e-006	4.995132e-009
4.800000000000006e-001	5.375970e-006	3.676465e-009
4.900000000000006e-001	5.377389e-006	2.700858e-009
5.000000000000000e-001	5.378552e-006	1.981559e-009
Step Information: V3=4.5  (Run: 3/3)
-5.000000000000000e-001	1.994417e-009	5.400610e-006
-4.900000000000000e-001	2.728510e-009	5.399877e-006
-4.800000000000000e-001	3.728106e-009	5.398879e-006
-4.700000000000000e-001	5.084380e-009	5.397525e-006
-4.600000000000000e-001	6.915970e-009	5.395696e-006
-4.500000000000000e-001	9.374443e-009	5.393241e-006
-4.400000000000000e-001	1.264898e-008	5.389972e-006
-4.299999999999999e-001	1.696899e-008	5.385659e-006
-4.199999999999999e-001	2.260322e-008	5.380034e-006
-4.099999999999999e-001	2.985398e-008	5.372794e-006
-3.999999999999999e-001	3.904620e-008	5.363617e-006
-3.899999999999999e-001	5.051220e-008	5.352169e-006
-3.799999999999999e-001	6.457429e-008	5.338130e-006
-3.699999999999999e-001	8.152828e-008	5.321203e-006
-3.599999999999999e-001	1.016303e-007	5.301133e-006
-3.499999999999999e-001	1.250883e-007	5.277713e-006
-3.399999999999999e-001	1.520587e-007	5.250786e-006
-3.299999999999999e-001	1.826471e-007	5.220247e-006
-3.199999999999998e-001	2.169121e-007	5.186037e-006
-3.099999999999998e-001	2.548707e-007	5.148140e-006
-2.999999999999998e-001	2.965044e-007	5.106574e-006
-2.899999999999998e-001	3.417653e-007	5.061387e-006
-2.799999999999998e-001	3.905822e-007	5.012650e-006
-2.699999999999998e-001	4.428649e-007	4.960453e-006
-2.599999999999998e-001	4.985091e-007	4.904901e-006
-2.499999999999998e-001	5.573996e-007	4.846108e-006
-2.399999999999998e-001	6.194135e-007	4.784198e-006
-2.299999999999998e-001	6.844222e-007	4.719298e-006
-2.199999999999998e-001	7.522935e-007	4.651542e-006
-2.099999999999997e-001	8.228931e-007	4.581063e-006
-1.999999999999997e-001	8.960852e-007	4.507996e-006
-1.899999999999997e-001	9.717342e-007	4.432478e-006
-1.799999999999997e-001	1.049704e-006	4.354644e-006
-1.699999999999997e-001	1.129862e-006	4.274628e-006
-1.599999999999997e-001	1.212072e-006	4.192563e-006
-1.499999999999997e-001	1.296205e-006	4.108582e-006
-1.399999999999997e-001	1.382128e-006	4.022814e-006
-1.299999999999997e-001	1.469714e-006	3.935389e-006
-1.199999999999997e-001	1.558835e-006	3.846433e-006
-1.099999999999997e-001	1.649367e-006	3.756071e-006
-9.999999999999969e-002	1.741184e-006	3.664428e-006
-8.999999999999969e-002	1.834166e-006	3.571626e-006
-7.999999999999970e-002	1.928190e-006	3.477785e-006
-6.999999999999970e-002	2.023138e-006	3.383026e-006
-5.999999999999970e-002	2.118890e-006	3.287466e-006
-4.999999999999970e-002	2.215331e-006	3.191222e-006
-3.999999999999970e-002	2.312342e-006	3.094412e-006
-2.999999999999969e-002	2.409810e-006	2.997150e-006
-1.999999999999969e-002	2.507619e-006	2.899551e-006
-9.999999999999691e-003	2.605654e-006	2.801730e-006
3.087807787238717e-016	2.703801e-006	2.703801e-006
1.000000000000031e-002	2.801948e-006	2.605878e-006
2.000000000000031e-002	2.899980e-006	2.508074e-006
3.000000000000031e-002	2.997783e-006	2.410503e-006
4.000000000000031e-002	3.095243e-006	2.313279e-006
5.000000000000032e-002	3.192247e-006	2.216516e-006
6.000000000000032e-002	3.288678e-006	2.120329e-006
7.000000000000031e-002	3.384423e-006	2.024834e-006
8.000000000000031e-002	3.479364e-006	1.930148e-006
9.000000000000030e-002	3.573384e-006	1.836386e-006
1.000000000000003e-001	3.666366e-006	1.743668e-006
1.100000000000003e-001	3.758189e-006	1.652113e-006
