v2	V(v)
Step Information: V3=2.5  (Run: 1/3)
-4.999999999999970e-002	2.796668e+000
-3.999999999999970e-002	2.800443e+000
-2.999999999999969e-002	2.804300e+000
-1.999999999999969e-002	2.808239e+000
-9.999999999999691e-003	2.812260e+000
3.087807787238717e-016	2.816362e+000
1.000000000000031e-002	2.820547e+000
2.000000000000031e-002	2.824813e+000
3.000000000000031e-002	2.829161e+000
4.000000000000031e-002	2.833591e+000
5.000000000000032e-002	2.838104e+000
6.000000000000032e-002	2.842699e+000
7.000000000000031e-002	2.847378e+000
8.000000000000031e-002	2.852140e+000
9.000000000000030e-002	2.856987e+000
1.000000000000003e-001	2.861920e+000
1.100000000000003e-001	2.866938e+000
1.200000000000003e-001	2.872044e+000
1.300000000000003e-001	2.877238e+000
1.400000000000003e-001	2.882520e+000
1.500000000000003e-001	2.887894e+000
1.600000000000003e-001	2.893359e+000
1.700000000000003e-001	2.898917e+000
1.800000000000003e-001	2.904570e+000
1.900000000000003e-001	2.910320e+000
2.000000000000003e-001	2.916167e+000
2.100000000000004e-001	2.922114e+000
2.200000000000004e-001	2.928162e+000
2.300000000000004e-001	2.934314e+000
2.400000000000004e-001	2.940571e+000
2.500000000000004e-001	2.946934e+000
2.600000000000004e-001	2.953408e+000
2.700000000000004e-001	2.959991e+000
2.800000000000004e-001	2.966687e+000
2.900000000000004e-001	2.973497e+000
3.000000000000004e-001	2.980422e+000
3.100000000000004e-001	2.987462e+000
3.200000000000005e-001	2.994617e+000
3.300000000000005e-001	3.001889e+000
3.400000000000005e-001	3.009273e+000
3.500000000000005e-001	3.016769e+000
3.600000000000005e-001	3.024373e+000
3.700000000000005e-001	3.032079e+000
3.800000000000005e-001	3.039881e+000
3.900000000000005e-001	3.047771e+000
4.000000000000005e-001	3.055742e+000
4.100000000000005e-001	3.063782e+000
4.200000000000005e-001	3.071883e+000
4.300000000000006e-001	3.080035e+000
4.400000000000006e-001	3.088228e+000
4.500000000000006e-001	3.096455e+000
4.600000000000006e-001	3.104707e+000
4.700000000000006e-001	3.112981e+000
4.800000000000006e-001	3.121271e+000
4.900000000000006e-001	3.129573e+000
5.000000000000000e-001	3.137885e+000
